0,315.71
31,317.45
61,317.51
92,-99.99
122,315.87
153,314.93
184,313.21
214,-99.99
245,313.33
275,314.67
306,315.58
337,316.49
365,316.65
396,317.72
426,318.29
457,318.15
487,316.54
518,314.79
549,313.84
579,313.33
610,314.81
640,315.58
671,316.43
702,316.98
731,317.58
762,319.03
792,320.03
823,319.59
853,318.18
884,315.9
915,314.17
945,313.83
976,315
1006,316.19
1037,316.89
1068,317.7
1096,318.54
1127,319.48
1157,320.58
1188,319.77
1218,318.56
1249,316.79
1280,314.99
1310,315.31
1341,316.1
1371,317.01
1402,317.94
1433,318.55
1461,319.68
1492,320.57
1522,321.02
1553,320.62
1583,319.62
1614,317.4
1645,316.24
1675,315.42
1706,316.69
1736,317.7
1767,318.74
1798,319.07
1826,319.86
1857,321.38
1887,322.24
1918,321.49
1948,319.74
1979,317.77
2010,316.21
2040,315.98
2071,317.07
2101,318.35
2132,319.57
2163,-99.99
2192,-99.99
2223,-99.99
2253,322.25
2284,321.9
2314,320.44
2345,318.69
2376,316.71
2406,316.87
2437,317.68
2467,318.71
2498,319.44
2529,320.44
2557,320.89
2588,322.13
2618,322.17
2649,321.88
2679,321.21
2710,318.87
2741,317.82
2771,317.3
2802,318.87
2832,319.42
2863,320.62
2894,321.6
2922,322.39
2953,323.7
2983,324.08
3014,323.75
3044,322.37
3075,320.36
3106,318.64
3136,318.1
3167,319.78
3197,321.02
3228,322.33
3259,322.5
3287,323.03
3318,324.41
3348,325
3379,324.1
3409,322.54
3440,320.92
3471,319.25
3501,319.39
3532,320.73
3562,321.96
3593,322.57
3624,323.15
3653,323.89
3684,325.02
3714,325.57
3745,325.36
3775,324.14
3806,322.11
3837,320.33
3867,320.25
3898,321.32
3928,322.89
3959,324
3990,324.41
4018,325.63
4049,326.66
4079,327.38
4110,326.71
4140,325.88
4171,323.66
4202,322.38
4232,321.78
4263,322.85
4293,324.11
4324,325.06
4355,325.99
4383,326.93
4414,328.13
4444,328.08
4475,327.67
4505,326.34
4536,324.68
4567,323.1
4597,323.06
4628,324.01
4658,325.13
4689,326.17
4720,326.68
4748,327.18
4779,327.78
4809,328.93
4840,328.57
4870,327.36
4901,325.43
4932,323.36
4962,323.56
4993,324.8
5023,326.01
5054,326.77
5085,327.63
5114,327.75
5145,329.72
5175,330.07
5206,329.09
5236,328.04
5267,326.32
5298,324.84
5328,325.2
5359,326.5
5389,327.55
5420,328.55
5451,329.56
5479,330.3
5510,331.5
5540,332.48
5571,332.08
5601,330.87
5632,329.31
5663,327.52
5693,327.19
5724,328.17
5754,328.65
5785,329.36
5816,330.71
5844,331.49
5875,332.65
5905,333.1
5936,332.26
5966,331.18
5997,329.39
6028,327.44
6058,327.38
6089,328.46
6119,329.58
6150,330.41
6181,331.41
6209,332.05
6240,333.32
6270,333.98
6301,333.62
6331,331.91
6362,330.06
6393,328.56
6423,328.35
6454,329.5
6484,330.77
6515,331.76
6546,332.58
6575,333.5
6606,334.59
6636,334.89
6667,334.34
6697,333.06
6728,330.95
6759,329.31
6789,328.95
6820,330.32
6850,331.69
6881,332.94
6912,333.43
6940,334.71
6971,336.08
7001,336.76
7032,336.28
7062,334.93
7093,332.76
7124,331.6
7154,331.17
7185,332.41
7215,333.86
7246,334.98
7277,335.4
7305,336.65
7336,337.76
7366,338.02
7397,337.91
7427,336.55
7458,334.69
7489,332.77
7519,332.56
7550,333.93
7580,334.96
7611,336.24
7642,336.77
7670,337.97
7701,338.89
7731,339.48
7762,339.3
7792,337.74
7823,336.1
7854,333.93
7884,333.87
7915,335.3
7945,336.74
7976,338.03
8007,338.37
8036,340.09
8067,340.78
8097,341.48
8128,341.19
8158,339.57
8189,337.61
8220,335.9
8250,336.03
8281,337.12
8311,338.23
8342,339.25
8373,340.5
8401,341.4
8432,342.52
8462,342.93
8493,342.27
8523,340.5
8554,338.45
8585,336.71
8615,336.88
8646,338.38
8676,339.63
8707,340.77
8738,341.63
8766,342.72
8797,343.59
8827,344.16
8858,343.37
8888,342.07
8919,339.83
8950,338
8980,337.88
9011,339.28
9041,340.51
9072,341.4
9103,342.54
9131,343.12
9162,344.96
9192,345.77
9223,345.34
9253,344
9284,342.4
9315,339.89
9345,340.01
9376,341.16
9406,342.99
9437,343.82
9468,344.62
9497,345.38
9528,347.15
9558,347.52
9589,346.88
9619,345.47
9650,343.34
9681,341.13
9711,341.4
9742,343.02
9772,344.25
9803,344.99
9834,346.01
9862,347.43
9893,348.34
9923,348.92
9954,348.24
9984,346.54
10015,344.64
10046,343.06
10076,342.77
10107,344.21
10137,345.53
10168,346.28
10199,346.93
10227,347.83
10258,349.53
10288,350.19
10319,349.54
10349,347.92
10380,345.88
10411,344.83
10441,344.16
10472,345.64
10502,346.88
10533,348
10564,348.47
10592,349.41
10623,350.97
10653,351.84
10684,351.25
10714,349.5
10745,348.08
10776,346.44
10806,346.09
10837,347.54
10867,348.69
10898,350.16
10929,351.47
10958,351.96
10989,353.33
11019,353.97
11050,353.55
11080,352.14
11111,350.19
11142,348.5
11172,348.66
11203,349.85
11233,351.12
11264,352.55
11295,352.86
11323,353.48
11354,355.21
11384,355.47
11415,354.92
11445,353.7
11476,351.47
11507,349.61
11537,349.79
11568,351.1
11598,352.32
11629,353.46
11660,354.5
11688,355.19
11719,356
11749,356.96
11780,356.04
11810,354.62
11841,352.71
11872,350.77
11902,350.99
11933,352.64
11963,354.02
11994,354.53
12025,355.55
12053,356.96
12084,358.4
12114,359.14
12145,358.04
12175,355.98
12206,353.81
12237,351.95
12267,352.02
12298,353.55
12328,354.79
12359,355.79
12390,356.52
12419,357.61
12450,358.95
12480,359.46
12511,359.06
12541,356.82
12572,354.8
12603,352.81
12633,353.11
12664,353.96
12694,355.2
12725,356.5
12756,356.97
12784,358.18
12815,359.26
12845,360.08
12876,359.4
12906,357.38
12937,355.33
12968,353.5
12998,353.8
13029,355.15
13059,356.62
13090,358.19
13121,358.73
13149,359.79
13180,361.09
13210,361.51
13241,360.78
13271,359.38
13302,357.3
13333,355.68
13363,355.83
13394,357.42
13424,358.88
13455,359.81
13486,360.84
13514,361.48
13545,363.3
13575,363.64
13606,363.11
13636,361.74
13667,359.31
13698,357.91
13728,357.62
13759,359.42
13789,360.56
13820,361.91
13851,363.11
13880,363.89
13911,364.58
13941,365.29
13972,364.84
14002,363.52
14033,361.35
14064,359.32
14094,359.48
14125,360.64
14155,362.21
14186,363.06
14217,363.87
14245,364.44
14276,366.23
14306,366.68
14337,365.52
14367,364.36
14398,362.38
14429,360.08
14459,360.67
14490,362.32
14520,364.17
14551,365.22
14582,366.04
14610,367.2
14641,368.5
14671,369.19
14702,368.77
14732,367.53
14763,365.67
14794,363.8
14824,364.14
14855,365.36
14885,366.87
14916,368.05
14947,368.77
14975,369.49
15006,371.04
15036,370.9
15067,370.25
15097,369.17
15128,366.83
15159,364.54
15189,365.04
15220,366.58
15250,367.92
15281,369.05
15312,369.37
15341,370.42
15372,371.57
15402,371.74
15433,371.6
15463,370.02
15494,368.03
15525,366.53
15555,366.64
15586,368.2
15616,369.44
15647,370.2
15678,371.42
15706,372.04
15737,372.78
15767,373.94
15798,373.23
15828,371.54
15859,369.47
15890,367.88
15920,368.02
15951,369.6
15981,371.15
16012,372.36
16043,373
16071,373.44
16102,374.77
16132,375.48
16163,375.34
16193,373.95
16224,371.41
16255,370.63
16285,370.18
16316,372.01
16346,373.71
16377,374.61
16408,375.55
16436,376.04
16467,377.58
16497,378.28
16528,378.07
16558,376.54
16589,374.42
16620,372.92
16650,372.94
16681,374.29
16711,375.63
16742,376.73
16773,377.31
16802,378.34
16833,380.44
16863,380.56
16894,379.49
16924,377.7
16955,375.77
16986,373.99
